tscriptid,ottdartid,ensdartid,comments
ZDB-TSCRIPT-090929-7474,OTTDART00000024655,ENSDART00000144073.2,,
ZDB-TSCRIPT-090929-7475,OTTDART00000024656,ENSDART00000138923.2,,
ZDB-TSCRIPT-090929-7534,OTTDART00000024721,ENSDART00000147048.2,,
ZDB-TSCRIPT-090929-7538,OTTDART00000024725,ENSDART00000141438.2,,
ZDB-TSCRIPT-090929-7547,OTTDART00000024736,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-7573,OTTDART00000024763,ENSDART00000135434.2,,
ZDB-TSCRIPT-090929-7574,OTTDART00000024764,ENSDART00000133428.3,,
ZDB-TSCRIPT-090929-7575,OTTDART00000024765,ENSDART00000145472.2,,
ZDB-TSCRIPT-090929-7577,OTTDART00000024767,ENSDART00000140334.2,,
ZDB-TSCRIPT-090929-7578,OTTDART00000024768,ENSDART00000133453.3,,
ZDB-TSCRIPT-090929-7579,OTTDART00000024769,ENSDART00000140147.3,,
ZDB-TSCRIPT-090929-7580,OTTDART00000024770,ENSDART00000135425.2,,
ZDB-TSCRIPT-090929-7595,OTTDART00000024803,ENSDART00000147625.2,,
ZDB-TSCRIPT-090929-7612,OTTDART00000024821,ENSDART00000132128.2,,
ZDB-TSCRIPT-090929-7618,OTTDART00000024827,ENSDART00000131718.2,,
ZDB-TSCRIPT-090929-7620,OTTDART00000024829,ENSDART00000141594.2,,
ZDB-TSCRIPT-090929-7640,OTTDART00000024852,ENSDART00000133809.2,,
ZDB-TSCRIPT-090929-7641,OTTDART00000024853,ENSDART00000137273.2,,
ZDB-TSCRIPT-090929-7653,OTTDART00000024866,ENSDART00000135684.2,,
ZDB-TSCRIPT-090929-7654,OTTDART00000024867,ENSDART00000136753.2,,
ZDB-TSCRIPT-090929-7655,OTTDART00000024868,ENSDART00000142314.2,,
ZDB-TSCRIPT-090929-7658,OTTDART00000024872,ENSDART00000135419.2,,
ZDB-TSCRIPT-090929-7660,OTTDART00000024875,ENSDART00000141402.2,,
ZDB-TSCRIPT-090929-7662,OTTDART00000024877,ENSDART00000132415.2,,
ZDB-TSCRIPT-090929-7690,OTTDART00000024909,ENSDART00000160983.2,,
ZDB-TSCRIPT-090929-7714,OTTDART00000024933,ENSDART00000137213.2,,
ZDB-TSCRIPT-090929-7743,OTTDART00000024965,ENSDART00000140989.2,,
ZDB-TSCRIPT-090929-7744,OTTDART00000024966,ENSDART00000144971.2,,
ZDB-TSCRIPT-090929-7763,OTTDART00000024985,ENSDART00000056990.8,,
ZDB-TSCRIPT-090929-7766,OTTDART00000024988,ENSDART00000144527.3,,
ZDB-TSCRIPT-090929-7767,OTTDART00000024989,ENSDART00000133088.2,,
ZDB-TSCRIPT-090929-7852,OTTDART00000025076,ENSDART00000137822.2,,
ZDB-TSCRIPT-141209-97,OTTDART00000025077,ENSDART00000141448.2,,
ZDB-TSCRIPT-090929-7855,OTTDART00000025080,ENSDART00000144967.2,,
ZDB-TSCRIPT-090929-7860,OTTDART00000025086,ENSDART00000146655.3,,
ZDB-TSCRIPT-090929-7875,OTTDART00000025108,ENSDART00000013167.8,,
ZDB-TSCRIPT-090929-7884,OTTDART00000025117,ENSDART00000143392.2,,
ZDB-TSCRIPT-090929-7897,OTTDART00000025131,ENSDART00000145144.2,,
ZDB-TSCRIPT-090929-7915,OTTDART00000025151,ENSDART00000143514.2,,
ZDB-TSCRIPT-090929-7916,OTTDART00000025152,ENSDART00000147999.2,,
ZDB-TSCRIPT-090929-7942,OTTDART00000025179,ENSDART00000146811.2,,
ZDB-TSCRIPT-141209-1320,OTTDART00000025198,ENSDART00000171665.3,,
ZDB-TSCRIPT-090929-7967,OTTDART00000025205,ENSDART00000134713.2,,
ZDB-TSCRIPT-090929-7976,OTTDART00000025214,ENSDART00000133833.3,,
ZDB-TSCRIPT-090929-7985,OTTDART00000025223,ENSDART00000136384.2,,
ZDB-TSCRIPT-090929-7992,OTTDART00000025232,ENSDART00000147379.2,,
ZDB-TSCRIPT-090929-7996,OTTDART00000025236,ENSDART00000141963.2,,
ZDB-TSCRIPT-090929-7999,OTTDART00000025240,ENSDART00000137999.2,,
ZDB-TSCRIPT-090929-8030,OTTDART00000025274,ENSDART00000169822.2,,
ZDB-TSCRIPT-090929-8093,OTTDART00000025344,ENSDART00000157879.2,,
ZDB-TSCRIPT-090929-8097,OTTDART00000025349,ENSDART00000169468.2,,
ZDB-TSCRIPT-090929-8113,OTTDART00000025367,ENSDART00000170977.2,,
ZDB-TSCRIPT-090929-8123,OTTDART00000025379,ENSDART00000140742.2,,
ZDB-TSCRIPT-090929-8135,OTTDART00000025391,ENSDART00000122833.3,,
ZDB-TSCRIPT-090929-8192,OTTDART00000025449,ENSDART00000147305.2,,
ZDB-TSCRIPT-090929-8206,OTTDART00000025469,ENSDART00000134810.2,,
ZDB-TSCRIPT-090929-8210,OTTDART00000025473,ENSDART00000038896.7,,
ZDB-TSCRIPT-090929-8211,OTTDART00000025474,ENSDART00000138724.2,,
ZDB-TSCRIPT-090929-8241,OTTDART00000025507,ENSDART00000134273.3,,
ZDB-TSCRIPT-090929-8243,OTTDART00000025509,ENSDART00000145995.2,,
ZDB-TSCRIPT-090929-8268,OTTDART00000025536,ENSDART00000148265.2,,
ZDB-TSCRIPT-090929-8278,OTTDART00000025547,ENSDART00000131713.2,,
ZDB-TSCRIPT-090929-8325,OTTDART00000025604,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-8355,OTTDART00000025634,ENSDART00000134517.2,,
ZDB-TSCRIPT-090929-8356,OTTDART00000025635,ENSDART00000146824.3,,
ZDB-TSCRIPT-090929-8357,OTTDART00000025636,ENSDART00000131633.2,,
ZDB-TSCRIPT-090929-8425,OTTDART00000025707,ENSDART00000135041.2,,
ZDB-TSCRIPT-090929-8442,OTTDART00000025725,ENSDART00000167422.2,,
ZDB-TSCRIPT-090929-8453,OTTDART00000025736,ENSDART00000135246.2,,
ZDB-TSCRIPT-090929-8454,OTTDART00000025737,ENSDART00000135268.2,,
ZDB-TSCRIPT-090929-8455,OTTDART00000025738,ENSDART00000145676.2,,
ZDB-TSCRIPT-090929-8505,OTTDART00000025796,ENSDART00000139362.2,,
ZDB-TSCRIPT-130528-258,OTTDART00000025799,ENSDART00000153257.2,,
ZDB-TSCRIPT-090929-8513,OTTDART00000025805,ENSDART00000138968.2,,
ZDB-TSCRIPT-090929-8548,OTTDART00000025842,ENSDART00000125410.3,,
ZDB-TSCRIPT-090929-8550,OTTDART00000025844,ENSDART00000143524.2,,
ZDB-TSCRIPT-090929-8575,OTTDART00000025869,ENSDART00000139536.2,,
ZDB-TSCRIPT-090929-8607,OTTDART00000025903,ENSDART00000163540.2,,
ZDB-TSCRIPT-160112-313,OTTDART00000063240,ENSDART00000135991.2,,
ZDB-TSCRIPT-090929-22791,OTTDART00000025913,ENSDART00000141058.2,,
ZDB-TSCRIPT-090929-8643,OTTDART00000025943,ENSDART00000133909.2,,
ZDB-TSCRIPT-090929-8654,OTTDART00000025954,ENSDART00000143632.2,,
ZDB-TSCRIPT-090929-8665,OTTDART00000025966,ENSDART00000136029.2,,
ZDB-TSCRIPT-090929-8672,OTTDART00000025973,ENSDART00000141744.2,,
ZDB-TSCRIPT-090929-8761,OTTDART00000026067,ENSDART00000144989.2,,
ZDB-TSCRIPT-090929-8762,OTTDART00000026068,ENSDART00000123596.4,,
ZDB-TSCRIPT-090929-8776,OTTDART00000026083,ENSDART00000130485.3,,
ZDB-TSCRIPT-090929-8787,OTTDART00000026094,ENSDART00000142483.3,,
ZDB-TSCRIPT-090929-8788,OTTDART00000026095,ENSDART00000131283.2,,
ZDB-TSCRIPT-090929-8874,OTTDART00000026181,ENSDART00000132672.2,,
ZDB-TSCRIPT-090929-8911,OTTDART00000026220,ENSDART00000132973.2,,
ZDB-TSCRIPT-090929-8923,OTTDART00000026233,ENSDART00000138614.2,,
ZDB-TSCRIPT-090929-8976,OTTDART00000026293,ENSDART00000137614.2,,
ZDB-TSCRIPT-090929-9052,OTTDART00000026375,ENSDART00000136027.2,,
ZDB-TSCRIPT-090929-9114,OTTDART00000026439,ENSDART00000137566.2,,
ZDB-TSCRIPT-090929-9143,OTTDART00000026469,ENSDART00000147873.2,,
ZDB-TSCRIPT-090929-9151,OTTDART00000026477,ENSDART00000135486.2,,
ZDB-TSCRIPT-090929-9198,OTTDART00000026531,ENSDART00000136325.2,,
ZDB-TSCRIPT-090929-9201,OTTDART00000026539,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9219,OTTDART00000026572,ENSDART00000145507.2,,
ZDB-TSCRIPT-090929-9250,OTTDART00000026616,ENSDART00000136336.2,,
ZDB-TSCRIPT-090929-9253,OTTDART00000026619,ENSDART00000145453.2,,
ZDB-TSCRIPT-090929-9326,OTTDART00000026696,ENSDART00000138506.2,,
ZDB-TSCRIPT-090929-9341,OTTDART00000026712,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9345,OTTDART00000026717,ENSDART00000145467.2,,
ZDB-TSCRIPT-090929-9371,OTTDART00000026752,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9372,OTTDART00000026753,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9373,OTTDART00000026754,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9381,OTTDART00000026762,ENSDART00000144346.2,,
ZDB-TSCRIPT-090929-9383,OTTDART00000026764,ENSDART00000161085.2,,
ZDB-TSCRIPT-090929-9391,OTTDART00000026772,ENSDART00000139606.2,,
ZDB-TSCRIPT-090929-9440,OTTDART00000026837,ENSDART00000133248.2,,
ZDB-TSCRIPT-090929-9453,OTTDART00000026850,ENSDART00000133820.2,,
ZDB-TSCRIPT-090929-9515,OTTDART00000026924,ENSDART00000137866.2,,
ZDB-TSCRIPT-090929-9516,OTTDART00000026925,ENSDART00000142595.2,,
ZDB-TSCRIPT-090929-9557,OTTDART00000026966,ENSDART00000131947.2,,
ZDB-TSCRIPT-090929-9605,OTTDART00000027016,ENSDART00000137278.2,,
ZDB-TSCRIPT-090929-9676,OTTDART00000027094,ENSDART00000147427.2,,
ZDB-TSCRIPT-090929-9708,OTTDART00000027128,ENSDART00000169556.2,,
ZDB-TSCRIPT-090929-9713,OTTDART00000027133,ENSDART00000139740.2,,
ZDB-TSCRIPT-090929-9781,OTTDART00000027212,ENSDART00000143758.2,,
ZDB-TSCRIPT-090929-9785,OTTDART00000027216,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9825,OTTDART00000027257,ENSDART00000143884.2,,
ZDB-TSCRIPT-090929-9831,OTTDART00000027263,ENSDART00000132747.2,,
ZDB-TSCRIPT-090929-9864,OTTDART00000027300,ENSDART00000139516.3,,
ZDB-TSCRIPT-090929-9882,OTTDART00000027319,ENSDART00000136748.2,,
ZDB-TSCRIPT-090929-9909,OTTDART00000027348,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9929,OTTDART00000027368,ENSDART00000143002.2,,
ZDB-TSCRIPT-090929-9932,OTTDART00000027371,ENSDART00000143287.2,,
ZDB-TSCRIPT-090929-9944,OTTDART00000027383,ENSDART00000133017.2,,
ZDB-TSCRIPT-090929-9948,OTTDART00000027387,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9949,OTTDART00000027388,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9950,OTTDART00000027389,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-9966,OTTDART00000027405,ENSDART00000140376.2,,
ZDB-TSCRIPT-090929-9973,OTTDART00000027414,ENSDART00000147501.2,,
ZDB-TSCRIPT-090929-10000,OTTDART00000027443,ENSDART00000132348.2,,
ZDB-TSCRIPT-131113-20,OTTDART00000028248,ENSDART00000156790.2,,
ZDB-TSCRIPT-141209-2540,OTTDART00000028364,ENSDART00000162475.2,,
ZDB-TSCRIPT-141209-102,OTTDART00000028484,ENSDART00000169499.2,,
ZDB-TSCRIPT-141209-103,OTTDART00000028528,ENSDART00000158423.2,,
ZDB-TSCRIPT-091110-1500,OTTDART00000028631,ENSDART00000147173.2,,
ZDB-TSCRIPT-090929-11479,OTTDART00000029048,ENSDART00000135057.2,,
ZDB-TSCRIPT-090929-11496,OTTDART00000029066,ENSDART00000164001.2,,
ZDB-TSCRIPT-090929-11501,OTTDART00000029071,ENSDART00000103160.5,,
ZDB-TSCRIPT-090929-11509,OTTDART00000029079,ENSDART00000133875.2,,
ZDB-TSCRIPT-131113-1615,OTTDART00000029097,ENSDART00000156362.2,,
ZDB-TSCRIPT-090929-11530,OTTDART00000029103,ENSDART00000141529.2,,
ZDB-TSCRIPT-090929-11558,OTTDART00000029132,ENSDART00000141234.3,,
ZDB-TSCRIPT-090929-11559,OTTDART00000029133,ENSDART00000148024.2,,
ZDB-TSCRIPT-090929-11561,OTTDART00000029135,ENSDART00000140293.2,,
ZDB-TSCRIPT-090929-10059,OTTDART00000027505,ENSDART00000134575.2,,
ZDB-TSCRIPT-141209-1323,OTTDART00000029168,ENSDART00000165809.2,,
ZDB-TSCRIPT-090929-11608,OTTDART00000029185,ENSDART00000170144.2,,
ZDB-TSCRIPT-090929-11609,OTTDART00000029186,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-10065,OTTDART00000027511,ENSDART00000144475.2,,
ZDB-TSCRIPT-090929-11635,OTTDART00000029212,ENSDART00000142162.3,,
ZDB-TSCRIPT-090929-11638,OTTDART00000029215,ENSDART00000136441.2,,
ZDB-TSCRIPT-090929-11650,OTTDART00000029228,ENSDART00000140198.2,,
ZDB-TSCRIPT-090929-11651,OTTDART00000029229,ENSDART00000148139.2,,
ZDB-TSCRIPT-090929-11672,OTTDART00000029254,ENSDART00000146768.2,,
ZDB-TSCRIPT-090929-11675,OTTDART00000029257,ENSDART00000146079.2,,
ZDB-TSCRIPT-090929-11677,OTTDART00000029259,ENSDART00000137878.3,,
ZDB-TSCRIPT-090929-11718,OTTDART00000029308,ENSDART00000137372.2,,
ZDB-TSCRIPT-090929-11727,OTTDART00000029318,ENSDART00000133442.2,,
ZDB-TSCRIPT-090929-11733,OTTDART00000029331,ENSDART00000065447.7,,
ZDB-TSCRIPT-090929-10089,OTTDART00000027536,ENSDART00000137445.2,,
ZDB-TSCRIPT-090929-10090,OTTDART00000027537,ENSDART00000131686.2,,
ZDB-TSCRIPT-090929-11748,OTTDART00000029346,ENSDART00000079701.4,,
ZDB-TSCRIPT-090929-11801,OTTDART00000029406,ENSDART00000145506.2,,
ZDB-TSCRIPT-090929-11803,OTTDART00000029408,ENSDART00000141724.3,,
ZDB-TSCRIPT-090929-11852,OTTDART00000029458,ENSDART00000136034.2,,
ZDB-TSCRIPT-090929-10105,OTTDART00000027553,ENSDART00000140116.2,,
ZDB-TSCRIPT-110325-1837,OTTDART00000029468,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-110325-25,OTTDART00000029469,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-11863,OTTDART00000029471,ENSDART00000143940.2,,
ZDB-TSCRIPT-090929-11871,OTTDART00000029480,ENSDART00000145152.3,,
ZDB-TSCRIPT-090929-11874,OTTDART00000029483,ENSDART00000144258.2,,
ZDB-TSCRIPT-090929-11876,OTTDART00000029485,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-11877,OTTDART00000029486,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-11884,OTTDART00000029493,ENSDART00000145468.3,,
ZDB-TSCRIPT-090929-11899,OTTDART00000029509,ENSDART00000143870.2,,
ZDB-TSCRIPT-090929-11911,OTTDART00000029522,ENSDART00000162892.2,,
ZDB-TSCRIPT-090929-11917,OTTDART00000029528,ENSDART00000134437.2,,
ZDB-TSCRIPT-090929-11928,OTTDART00000029539,ENSDART00000147141.2,,
ZDB-TSCRIPT-090929-11933,OTTDART00000029546,ENSDART00000130930.3,,
ZDB-TSCRIPT-090929-11936,OTTDART00000029550,ENSDART00000144449.2,,
ZDB-TSCRIPT-090929-11950,OTTDART00000029565,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-11958,OTTDART00000029573,ENSDART00000123645.3,,
ZDB-TSCRIPT-090929-11959,OTTDART00000029574,ENSDART00000135371.2,,
ZDB-TSCRIPT-090929-11960,OTTDART00000029575,ENSDART00000142356.2,,
ZDB-TSCRIPT-090929-11961,OTTDART00000029576,ENSDART00000146339.3,,
ZDB-TSCRIPT-090929-10119,OTTDART00000027567,ENSDART00000146409.2,,
ZDB-TSCRIPT-090929-11980,OTTDART00000029596,ENSDART00000043651.7,,
ZDB-TSCRIPT-090929-11988,OTTDART00000029605,ENSDART00000135541.2,,
ZDB-TSCRIPT-090929-12002,OTTDART00000029619,ENSDART00000141887.2,,
ZDB-TSCRIPT-090929-12004,OTTDART00000029621,ENSDART00000100965.5,,
ZDB-TSCRIPT-090929-12037,OTTDART00000029654,ENSDART00000144645.2,,
ZDB-TSCRIPT-090929-12046,OTTDART00000029663,ENSDART00000140111.2,,
ZDB-TSCRIPT-090929-12048,OTTDART00000029665,ENSDART00000130035.3,,
ZDB-TSCRIPT-090929-12055,OTTDART00000029674,ENSDART00000140371.2,,
ZDB-TSCRIPT-090929-12057,OTTDART00000029676,ENSDART00000147221.2,,
ZDB-TSCRIPT-090929-12072,OTTDART00000029692,ENSDART00000141015.2,,
ZDB-TSCRIPT-090929-12084,OTTDART00000029704,ENSDART00000146278.2,,
ZDB-TSCRIPT-090929-12118,OTTDART00000029738,ENSDART00000135467.2,,
ZDB-TSCRIPT-090929-12119,OTTDART00000029739,ENSDART00000134318.2,,
ZDB-TSCRIPT-090929-12136,OTTDART00000029756,ENSDART00000137789.3,,
ZDB-TSCRIPT-090929-12140,OTTDART00000029760,ENSDART00000132311.3,,
ZDB-TSCRIPT-090929-12152,OTTDART00000029772,ENSDART00000143372.2,,
ZDB-TSCRIPT-090929-1014,OTTDART00000007655,ENSDART00000144953.3,,
ZDB-TSCRIPT-090929-12167,OTTDART00000029787,ENSDART00000139896.2,,
ZDB-TSCRIPT-090929-12175,OTTDART00000029795,ENSDART00000124365.3,,
ZDB-TSCRIPT-090929-12186,OTTDART00000029806,ENSDART00000142627.2,,
ZDB-TSCRIPT-090929-12193,OTTDART00000029813,ENSDART00000148022.3,,
ZDB-TSCRIPT-090929-12194,OTTDART00000029814,ENSDART00000139885.3,,
ZDB-TSCRIPT-090929-12206,OTTDART00000029833,ENSDART00000145235.2,,
ZDB-TSCRIPT-090929-1015,OTTDART00000007656,ENSDART00000139896.2,,
ZDB-TSCRIPT-090929-12232,OTTDART00000029872,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12234,OTTDART00000029875,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12240,OTTDART00000029881,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12249,OTTDART00000029890,ENSDART00000145730.2,,
ZDB-TSCRIPT-090929-12256,OTTDART00000029898,ENSDART00000139305.2,,
ZDB-TSCRIPT-090929-12257,OTTDART00000029899,ENSDART00000145906.3,,
ZDB-TSCRIPT-090929-12268,OTTDART00000029924,ENSDART00000131103.3,,
ZDB-TSCRIPT-090929-12277,OTTDART00000029938,ENSDART00000135333.2,,
ZDB-TSCRIPT-090929-12278,OTTDART00000029939,ENSDART00000145699.2,,
ZDB-TSCRIPT-090929-12301,OTTDART00000029976,ENSDART00000155613.2,,
ZDB-TSCRIPT-090929-12302,OTTDART00000029977,ENSDART00000154648.3,,
ZDB-TSCRIPT-090929-12303,OTTDART00000029978,ENSDART00000154511.2,,
ZDB-TSCRIPT-090929-12304,OTTDART00000029979,ENSDART00000157348.2,,
ZDB-TSCRIPT-090929-12305,OTTDART00000029980,ENSDART00000155644.2,,
ZDB-TSCRIPT-090929-12322,OTTDART00000030008,ENSDART00000148275.3,,
ZDB-TSCRIPT-090929-12332,OTTDART00000030025,ENSDART00000164751.2,,
ZDB-TSCRIPT-090929-12339,OTTDART00000030032,ENSDART00000132935.2,,
ZDB-TSCRIPT-090929-12345,OTTDART00000030041,ENSDART00000142262.2,,
ZDB-TSCRIPT-090929-12347,OTTDART00000030045,ENSDART00000147155.2,,
ZDB-TSCRIPT-141209-1327,OTTDART00000030053,ENSDART00000160171.2,,
ZDB-TSCRIPT-141209-2543,OTTDART00000030054,ENSDART00000166026.2,,
ZDB-TSCRIPT-090929-12352,OTTDART00000030071,ENSDART00000138258.3,,
ZDB-TSCRIPT-141209-2544,OTTDART00000030085,ENSDART00000159518.2,,
ZDB-TSCRIPT-090929-12362,OTTDART00000030086,ENSDART00000138190.2,,
ZDB-TSCRIPT-141209-1330,OTTDART00000030087,ENSDART00000158538.2,,
ZDB-TSCRIPT-090929-12363,OTTDART00000030089,ENSDART00000143561.3,,
ZDB-TSCRIPT-090929-12369,OTTDART00000030097,ENSDART00000144592.2,,
ZDB-TSCRIPT-090929-10172,OTTDART00000027624,ENSDART00000139638.2,,
ZDB-TSCRIPT-090929-12388,OTTDART00000030128,ENSDART00000134236.2,,
ZDB-TSCRIPT-090929-12389,OTTDART00000030129,ENSDART00000140462.2,,
ZDB-TSCRIPT-090929-12407,OTTDART00000030149,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12457,OTTDART00000030201,OTTDART00000030201,,
ZDB-TSCRIPT-090929-12461,OTTDART00000030206,ENSDART00000135932.3,,
ZDB-TSCRIPT-090929-12462,OTTDART00000030207,ENSDART00000143600.2,,
ZDB-TSCRIPT-090929-12485,OTTDART00000030231,ENSDART00000135310.2,,
ZDB-TSCRIPT-090929-12509,OTTDART00000030258,ENSDART00000139512.2,,
ZDB-TSCRIPT-141209-112,OTTDART00000030268,ENSDART00000171373.2,,
ZDB-TSCRIPT-090929-12513,OTTDART00000030272,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12564,OTTDART00000030336,ENSDART00000135574.2,,
ZDB-TSCRIPT-090929-12571,OTTDART00000030346,ENSDART00000135574.2,,
ZDB-TSCRIPT-090929-12599,OTTDART00000030378,ENSDART00000141517.2,,
ZDB-TSCRIPT-090929-12612,OTTDART00000030393,ENSDART00000134400.2,,
ZDB-TSCRIPT-090929-12618,OTTDART00000030399,ENSDART00000131982.3,,
ZDB-TSCRIPT-090929-12622,OTTDART00000030403,ENSDART00000142269.2,,
ZDB-TSCRIPT-090929-12631,OTTDART00000030412,ENSDART00000147291.2,,
ZDB-TSCRIPT-090929-12636,OTTDART00000030418,ENSDART00000158993.2,,
ZDB-TSCRIPT-090929-12637,OTTDART00000030419,ENSDART00000171953.2,,
ZDB-TSCRIPT-090929-12638,OTTDART00000030420,ENSDART00000164033.2,,
ZDB-TSCRIPT-090929-12639,OTTDART00000030421,ENSDART00000160630.2,,
ZDB-TSCRIPT-090929-12640,OTTDART00000030422,ENSDART00000162966.2,,
ZDB-TSCRIPT-090929-12684,OTTDART00000030486,ENSDART00000144603.2,,
ZDB-TSCRIPT-090929-12700,OTTDART00000030502,ENSDART00000144145.2,,
ZDB-TSCRIPT-090929-10201,OTTDART00000027654,ENSDART00000122185.3,,
ZDB-TSCRIPT-090929-12704,OTTDART00000030506,ENSDART00000131358.2,,
ZDB-TSCRIPT-090929-12717,OTTDART00000030521,ENSDART00000161603.2,,
ZDB-TSCRIPT-090929-12739,OTTDART00000030550,ENSDART00000164417.2,,
ZDB-TSCRIPT-090929-12741,OTTDART00000030552,ENSDART00000165214.2,,
ZDB-TSCRIPT-090929-12742,OTTDART00000030556,ENSDART00000147108.3,,
ZDB-TSCRIPT-090929-12752,OTTDART00000030584,ENSDART00000169657.2,,
ZDB-TSCRIPT-090929-12755,OTTDART00000030587,ENSDART00000140180.3,,
ZDB-TSCRIPT-090929-10209,OTTDART00000027662,ENSDART00000004476.9,,
ZDB-TSCRIPT-090929-12797,OTTDART00000030636,ENSDART00000138738.3,,
ZDB-TSCRIPT-090929-12802,OTTDART00000030641,ENSDART00000133883.2,,
ZDB-TSCRIPT-090929-12804,OTTDART00000030643,ENSDART00000143109.4,,
ZDB-TSCRIPT-090929-12812,OTTDART00000030651,ENSDART00000167802.2,,
ZDB-TSCRIPT-090929-12814,OTTDART00000030653,ENSDART00000169850.2,,
ZDB-TSCRIPT-090929-12817,OTTDART00000030656,ENSDART00000157586.2,,
ZDB-TSCRIPT-090929-10220,OTTDART00000027673,ENSDART00000144792.2,,
ZDB-TSCRIPT-090929-12829,OTTDART00000030669,ENSDART00000141862.3,,
ZDB-TSCRIPT-090929-12836,OTTDART00000030678,ENSDART00000147409.2,,
ZDB-TSCRIPT-090929-12845,OTTDART00000030697,ENSDART00000143971.3,,
ZDB-TSCRIPT-090929-12847,OTTDART00000030700,ENSDART00000134468.2,,
ZDB-TSCRIPT-090929-12850,OTTDART00000030705,ENSDART00000146905.2,,
ZDB-TSCRIPT-090929-12852,OTTDART00000030711,ENSDART00000138058.2,,
ZDB-TSCRIPT-090929-12853,OTTDART00000030712,ENSDART00000137628.2,,
ZDB-TSCRIPT-090929-12856,OTTDART00000030715,ENSDART00000145355.2,,
ZDB-TSCRIPT-090929-12861,OTTDART00000030740,ENSDART00000143775.2,,
ZDB-TSCRIPT-090929-12881,OTTDART00000030772,ENSDART00000145783.2,,
ZDB-TSCRIPT-090929-12882,OTTDART00000030773,ENSDART00000129805.3,,
ZDB-TSCRIPT-090929-12911,OTTDART00000030805,ENSDART00000127518.3,,
ZDB-TSCRIPT-090929-12912,OTTDART00000030806,ENSDART00000139810.2,,
ZDB-TSCRIPT-090929-10234,OTTDART00000027687,ENSDART00000140078.2,,
ZDB-TSCRIPT-090929-10235,OTTDART00000027688,ENSDART00000137145.2,,
ZDB-TSCRIPT-090929-10236,OTTDART00000027689,ENSDART00000142840.2,,
ZDB-TSCRIPT-090929-12932,OTTDART00000030829,ENSDART00000140718.2,,
ZDB-TSCRIPT-090929-12934,OTTDART00000030832,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12935,OTTDART00000030833,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12936,OTTDART00000030834,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12939,OTTDART00000030837,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12942,OTTDART00000030840,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12944,OTTDART00000030842,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12955,OTTDART00000030858,,transcript not in Ensembl. Withdrawn,
ZDB-TSCRIPT-090929-12966,OTTDART00000030869,ENSDART00000143667.2,,
ZDB-TSCRIPT-141209-2557,OTTDART00000030878,ENSDART00000171166.2,,
ZDB-TSCRIPT-090929-12980,OTTDART00000030888,ENSDART00000145032.2,,
ZDB-TSCRIPT-090929-10240,OTTDART00000027693,ENSDART00000146181.2,,
ZDB-TSCRIPT-090929-12986,OTTDART00000030894,ENSDART00000144480.2,,
ZDB-TSCRIPT-090929-13010,OTTDART00000030918,ENSDART00000142499.3,,
ZDB-TSCRIPT-090929-13014,OTTDART00000030922,ENSDART00000142282.2,,
ZDB-TSCRIPT-090929-13018,OTTDART00000030926,ENSDART00000140131.2,,
ZDB-TSCRIPT-090929-13030,OTTDART00000030938,ENSDART00000135978.2,,
ZDB-TSCRIPT-090929-13033,OTTDART00000030941,ENSDART00000132195.3,,
ZDB-TSCRIPT-090929-13034,OTTDART00000030942,ENSDART00000144586.3,,
ZDB-TSCRIPT-090929-13035,OTTDART00000030943,ENSDART00000140174.3,,
ZDB-TSCRIPT-090929-13036,OTTDART00000030944,ENSDART00000140029.3,,
