Box1,Box2,cDNA Name,Gene symbol,Biblio data,comments,Complexes,ENSDARG,Epigenetic,Function,Gene Name,GO component,GO function,GO process,Modification,NR-NS,Original Name,ovaries,pattern,PMID,polymerase,primers,Sequence,size,star,submission ZFIN,target entity,Target moleculres,Vector,ZDB_gene,ZFIN probe ID
V267,,FR_6965,abhd14a,,,,ENSDARG00000058367,,,abhydrolase domain containing 14A,membrane ; integral component of membrane ; cytoplasm,coenzyme F390-A hydrolase activity ; coenzyme F390-G hydrolase activity ; GPI-anchor transamidase activity ; hydrolase activity,NA,,NR,N3001 ,,NR,,T7,T7-SP6,BC066291,1281,,13 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2428, ZDB-CDNA-040425-3375
V268,,FR_6990,spred1,,,,ENSDARG00000041449,,,"sprouty-related, EVH1 domain containing 1",membrane,molecular_function,regulation of vascular endothelial growth factor receptor signaling pathway ; regulation of signal transduction ; multicellular organism development ; blood vessel morphogenesis,,NR,N3031 ,,NR,,T7,T7-SP6,BC068365,3089,,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-040426-2338, ZDB-CDNA-040425-3285
V269,,FR_7015,slc10a3,,,,ENSDARG00000103220,,,"solute carrier family 10, member 4",membrane ; integral component of plasma membrane ; integral component of membrane,bile acid:sodium symporter activity,NA,,NR,N3061 ,,NR,,T7,T7-SP6,BC068432,2307,,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-041014-249, ZDB-CDNA-040425-3294
V270,,FR_7038,tuba8l,,,,ENSDARG00000042708,,,"tubulin, alpha 4 like",cytoskeleton ; microtubule ; cytoplasm,nucleotide binding ; structural constituent of cytoskeleton ; GTP binding ; GTPase activity,microtubule-based process,,NR,N3091 ,,NR,,T7,T7-SP6,BC067582,1843,,12 th sending,,,pCMV-SPORT6.1,ZDB-GENE-030131-5588, ZDB-CDNA-040425-3398
V271,,FR_7055,dbnla,,,,ENSDARG00000008170,,,drebrin-like a,intracellular,actin filament binding ; actin binding,ruffle assembly ; synapse assembly ; neuron projection morphogenesis ; receptor-mediated endocytosis,,,N3122,,NR,,T7,AIC287-M13F or PU,BC074079,1705,0,12 th sending,,,pExpress-1,ZDB-GENE-040704-42, ZDB-CDNA-040704-42
V272,,FR_7077,bloc1s4,,,,ENSDARG00000007597,,,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",extrinsic component of membrane ; transport vesicle ; BLOC-1 complex,molecular_function,intracellular transport,,,N3152,,NR,,T7,AIC287-M13F or PU,BC078382,1450,0,12 th sending,,,pExpress-1,ZDB-GENE-070112-1862, ZDB-CDNA-040801-228
V273,,FR_7101,zgc:91944,,,,ENSDARG00000035887,,,zgc:91944,nucleus,DNA binding,"positive regulation of transcription, DNA-templated",,,N3182,,"G - MS : Ø
24h : NR
5d :  NR, lateral line ganglia",,T7,AIC287-M13F or PU,BC076519,2980,1,13 th sending,,,pExpress-1,ZDB-GENE-040718-417, ZDB-CDNA-040718-459
V274,,FR_7127,bambib,,,,ENSDARG00000099677,,,BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) b,membrane ; integral component of membrane,molecular_function,positive regulation of canonical Wnt signaling pathway ; negative regulation of transforming growth factor beta receptor signaling pathway,,,N3211,,"G : Ø
ES : epidermis
MS : epidermis, posterior retina
24 h : retina dorsal to the lens, epidermis, median fin fold, pectoral fin bud, posterior otic vesicle
36 h : retina dorsal to the lens, median fin fold, anterior and posterior otic vesicle, pectoral fin, posterior branchial arches
48 h : same + dorsal telencephalon nuclei, AER of pectoral fin, cleithrum",,T7,AIC287-M13F or PU,BC072715,1445,2,13 th sending,,,pExpress-1,ZDB-GENE-040704-30, ZDB-CDNA-040704-30
V275,,FR_7147,ubxn7,,,,ENSDARG00000009436,,,UBX domain protein 7,cellular_component,molecular_function,biological_process,,NR,N3241 ,,NR,,T7,AIC287-M13F or PU,BC074046,2165,,12 th sending,,,pExpress-1,ZDB-GENE-040704-8, ZDB-CDNA-040704-8
V276,,FR_7170,kctd4,,,,ENSDARG00000068691,,,potassium channel tetramerization domain containing 4,NA,NA,protein homooligomerization ; ion transport ; transport,,,N3272,,NR,,T7,AIC287-M13F or PU,BC074061,1585,0,12 th sending,,,pExpress-1,ZDB-GENE-040704-71, ZDB-CDNA-040704-71
V277,,FR_7188,rad17,,,,ENSDARG00000018918,,,RAD17 checkpoint clamp loader component,Rad17 RFC-like complex ; nucleus,nucleotide binding ; ATP binding ; DNA clamp loader activity,cell cycle ; DNA damage checkpoint ; DNA repair,,,N3301 ,,NR more in ventral mesoderm at MS,,T7,AIC287-M13F or PU,BC076494,2535,0,12 th sending,,,pExpress-1,ZDB-GENE-040718-409, ZDB-CDNA-040718-450
V278,,FR_7215,lhfpl3,,,,ENSDARG00000021595,,,lipoma HMGIC fusion partner-like 3,membrane ; integral component of membrane,molecular_function,biological_process,,,N3331,,"G - MS : Ø
24 - 5 d : CNS marginal zone",,T7,AIC287-M13F or PU,BC076060,1946,2,13 th sending,,,pExpress-1,ZDB-GENE-040801-180, ZDB-CDNA-040801-191
V279,,FR_7243,gtf2h1,,,,ENSDARG00000026701,,,"general transcription factor IIH, polypeptide 2",core TFIIH complex,metal ion binding ; zinc ion binding,"transcription, DNA-templated ; nucleotide-excision repair ; DNA repair",,NR,N3361 ,,NR,,T7,AIC287-M13F or PU,BC081602,2493,,12 th sending,,,pExpress-1,ZDB-GENE-030131-1959, ZDB-CDNA-040912-166
V28,V444,"CB715
",her7,,,,,,,hairy and enhancer of split related-7,nucleus,protein dimerization activity ; DNA binding,"somite specification ; transcription, DNA-templated ; regulation of transcription, DNA-templated ; anterior/posterior pattern specification ; somitogenesis",,,DG2035,,"G : margin
ES : segmentation clock, tail bud
MS - 24 h : same",,T7,PU-RP,CB891041 ,1.1,4,sending CB,,,pBSIISK+,ZDB-GENE-000427-6,
V280,,FR_7270,hrasls,,,,ENSDARG00000100021,,,HRAS-like suppressor,membrane ; integral component of membrane,molecular_function,biological_process,,NR,N3391 ,,NR,,T3,ACY9-ACY10,BC076195,837,,12 th sending,,,pME18S-FL3,ZDB-GENE-040718-330, ZDB-CDNA-040718-363
V281,,FR_7296,tmem178b,,,,ENSDARG00000006747,,,transmembrane protein 178B,membrane ; integral component of membrane,NA,biological_process,,,N3421,,"G - ES : Ø
MS : cranial ganglia
24 h : telencephalon and diencephalon marginal zone, cranial ganglia, weak in spinal chord
36 h : same, + hindbrain marginal zone, ventral anterior part of retina
48 h : cranial ganglia, brain, retina inner nuclea layer
5 d: same",,T3,ACY9-ACY10,BC076190,1070,3,13 th sending,,,pME18S-FL3,ZDB-GENE-040718-92, ZDB-CDNA-040718-113
V282,,FR_7324,ndufab1a,,,,ENSDARG00000058463,,,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2",respiratory chain ; mitochondrial inner membrane ; membrane ; mitochondrion,NADH dehydrogenase (ubiquinone) activity,"transport ; oxidation-reduction process ; mitochondrial electron transport, NADH to ubiquinone",,,N3451 ,,"G - MS : weak NR
24 h : eye, tectum, somites
36 h : same + branchial arches
48 h : pectoral fin muscles",,T3,ACY9-ACY10,BC076098,764,,12 th sending,,,pME18S-FL3,ZDB-GENE-050320-87, ZDB-CDNA-040801-1
V283,,FR_7344,zgc:92818,,,,ENSDARG00000002506,,,zgc:92818,cellular_component,molecular_function,biological_process,,,N3481,,"NR more in axis and midbrain at ES, CNS and notochord at MS",,T3,ACY9-ACY10,BC076286,1233,0,12 th sending,,,pME18S-FL3,ZDB-GENE-040718-217, ZDB-CDNA-040718-243
V284,,FR_7369,ap3s2,,,,ENSDARG00000039882,,,"adaptor-related protein complex 3, beta 1 subunit a",.,,,,,N3512,,NR,,T3,ACY9-ACY10,BC076269,1043,0,12 th sending,,,pME18S-FL3,ZDB-GENE-031112-8, ZDB-CDNA-040718-304
V285,,FR_7393,syt1a,,,,ENSDARG00000030614,,,synaptotagmin Ia,synaptic vesicle membrane ; membrane ; integral component of membrane,syntaxin binding ; clathrin binding ; calcium ion binding ; calcium-dependent phospholipid binding,synaptic vesicle endocytosis,,,N3543,,"G - MS : Ø
24 - 48 h : brain marginal zone, epiphysis
48 h : same + ganglion and inner cell layer of retina. Stronger in olfactory bulb",,T3,ACY9-ACY10,BC076355,1515,3,16 th sending,,,pME18S-FL3,ZDB-GENE-040718-165, ZDB-CDNA-040718-187
V286,,FR_7416,gng3,,,,ENSDARG00000009553,,,"guanine nucleotide binding protein (G protein), gamma 8",membrane ; plasma membrane ; heterotrimeric G-protein complex,signal transducer activity,signal transduction ; G-protein coupled receptor signaling pathway,,,N3572,,"G - ES : Ø
MS : trigeminal placode
24 h: neurons in marginal zone, cranial ganglia
36 h : same + nose
48 h : CNS marginal, cranial ganglia, ganglion cell layer of retina",,T3,ACY9-ACY10,BC076314,1129,2,16 th sending,,,pME18S-FL3,ZDB-GENE-050522-312, ZDB-CDNA-040718-221
V287,,FR_7438,tspo,,,,ENSDARG00000026655,,,translocator protein,membrane ; integral component of membrane,molecular_function,primitive erythrocyte differentiation,,,N3601,,"G - MS : Ø
24 h - 5 d: blood",,T3,ACY9-ACY10,BC083388,914,2,16 th sending,,,pME18S-FL3,ZDB-GENE-041010-125, ZDB-CDNA-041010-125
V288,,FR_7463,gcdhb,,,,ENSDARG00000098831,,,glutaryl-CoA dehydrogenase b,mitochondrion,"oxidoreductase activity, acting on the CH-CH group of donors ; fatty-acyl-CoA binding ; acyl-CoA dehydrogenase activity ; oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor ; electron carrier activity ; flavin adenine dinucleotide binding ; oxidoreductase activity",metabolic process ; lipid homeostasis ; fatty acid beta-oxidation using acyl-CoA dehydrogenase ; oxidation-reduction process,,,N3631 ,,NR more in liver at 48 h,,T3,ACY9-ACY10,BC083397,1555,0,12 th sending,,,pME18S-FL3,ZDB-GENE-041010-117, ZDB-CDNA-041010-117
V289,,FR_7489,ercc8,,,,ENSDARG00000069283,,,excision repair cross-complementation group 8,,,,,NR,N3661,,NR,,T3,ACY9-ACY10,BC083423,1635,,12 th sending,,,pME18S-FL3,ZDB-GENE-041010-60, ZDB-CDNA-041010-60
V290,,FR_7515,slc38a4,,,,ENSDARG00000018149,,,"solute carrier family 38, member 5b",membrane ; integral component of plasma membrane ; integral component of membrane,glycine transmembrane transporter activity,NA,,NR,N3691,,NR,,T3,ACY9-ACY10,BC083465,1508,,12 th sending,,,pME18S-FL3,ZDB-GENE-040718-395, ZDB-CDNA-041010-14
V291,,FR_7544,zgc:101566,,,,ENSDARG00000086342,,,zgc:101566,cellular_component,molecular_function,biological_process,,NR,N3721,,NR,,T3,ACY9-ACY10,BC083203,1508,,12 th sending,,,pME18S-FL3,ZDB-GENE-041010-73, ZDB-CDNA-041010-73
V292,,FR_7572,zgc:103755,,,,ENSDARG00000104663,,,zgc:103755,,,,,NR,N3751,,NR strong,,T3,ACY9-ACY10,BC083481,1196,,12 th sending,,,pME18S-FL3,ZDB-GENE-041010-101, ZDB-CDNA-041010-101
V293,,FR_7738,mllt10,,,,ENSDARG00000045401,,,"myeloid/lymphoid or mixed-lineage leukemia translocated to, 4a",NA,NA,signal transduction,,NR,N3781 ,,NR,,T7,AIC287-M13F or PU,BC085650,3,,13 th sending,,,pExpress-1,ZDB-GENE-050419-52, ZDB-CDNA-041114-176
V294,,FR_7754,cdc42se1,,,,ENSDARG00000023724,,,CDC42 small effector 1,cytoskeleton ; membrane ; plasma membrane ; cytoplasm,structural molecule activity,signal transduction ; regulation of cell shape ; midbrain-hindbrain boundary morphogenesis,,NR,N3814 ,,NR,,T3,ACY9-ACY10,BC044443,2.1,,13 th sending,,,pME18S-FL3,ZDB-GENE-030131-9260, ZDB-CDNA-041122-6
V295,,FR_7776,zgc:103536,,,,,,,zgc:103536,,,,,NR,N3841 ,,NR,,T3,ACY9-ACY10,BC086829,1.4,,13 th sending,,,pME18S-FL3,ZDB-GENE-041212-25,
V296,,FR_7804,nfil3-6,,,,ENSDARG00000087188,,,"nuclear factor, interleukin 3 regulated, member 6",nucleus,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding ; sequence-specific DNA binding ; transcription factor activity, sequence-specific DNA binding","circadian regulation of gene expression ; regulation of transcription, DNA-templated",,,N3872,,"G - ES : Ø
MS : epiphysis
24 - 36 h : epiphysis
48 h : epiphysis, retina photoreceptor cell layer
5 d: retina inner cell layer",,T3,ACY9-ACY10,BC085591,2.5,2,15 th sending,,,pME18S-FL3,ZDB-GENE-040704-63, ZDB-CDNA-041114-48
V297,,FR_7826,med28,,,,ENSDARG00000037410,,,mediator complex subunit 28,mediator complex ; nucleus,molecular_function,"transcription, DNA-templated ; regulation of transcription, DNA-templated",,NR,N3902 ,,NR,,T3,ACY9-ACY10,BC085569,1.1,,15 th sending,,,pME18S-FL3,ZDB-GENE-041121-4, ZDB-CDNA-041121-4
V298,,FR_7847,nots,,,,,,,nothepsin,alveolar lamellar body ; lysosome ; extracellular space,peptidase activity ; hydrolase activity ; aspartic-type endopeptidase activity,protein catabolic process ; proteolysis,,NR,N3931 ,,NR,,T3,ACY9-ACY10,BC086835,1.7,,13 th sending,,,pME18S-FL3,ZDB-GENE-010620-1,
V299,,FR_7871,csnk1g1,,,,ENSDARG00000104342,,,"casein kinase 1, alpha 1",cytoplasm ; nucleus,transferase activity ; nucleotide binding ; protein kinase activity ; ATP binding ; kinase activity ; protein serine/threonine kinase activity,peptidyl-serine phosphorylation ; protein phosphorylation ; phosphorylation ; Wnt signaling pathway ; phagocytosis ; heart development,,NR,N3962 ,,NR more in CNS,,T3,ACY9-ACY10,BC086705,1.8,,13 th sending,,,pME18S-FL3,ZDB-GENE-020419-19, ZDB-CDNA-041212-71
V3,V408,CB143,ctsla,,,,,,,cathepsin La,lysosome ; extracellular space,cysteine-type peptidase activity ; peptidase activity ; hydrolase activity ; cysteine-type endopeptidase activity,proteolysis involved in cellular protein catabolic process ; proteolysis,,,BG163,,"G - MS : YSL
24 - 48 hrs : YSL, ventral mesenchyme
> kidney",,T7,PU-RP,BM259640BM259641,1.1,2,sending CB,,,pBSIISK+,ZDB-GENE-030131-106,
V30,V444,CB717,tg,,,,,,,thyroglobulin,extracellular space,carboxylic ester hydrolase activity,NA,,,DG2412,,Thyroid,,T7,PU-RP,CB891044 CB891045,1.5,4,sending CB,,,pBSIISK+,ZDB-GENE-030519-1,
V300,,FR_7898,spopla,,,,ENSDARG00000010563,,,speckle-type POZ protein-like a,Cul3-RING ubiquitin ligase complex ; nucleus,NA,negative regulation of protein ubiquitination ; proteasome-mediated ubiquitin-dependent protein catabolic process ; protein ubiquitination,,NR,N3992 ,,NR,,T3,ACY9-ACY10,BC090815,2.5,,13 th sending,,,pME18S-FL3,ZDB-GENE-050320-3, ZDB-CDNA-050320-3
V301,,FR_7920,zgc:101716,,,,ENSDARG00000010738,,,zgc:101716,cellular_component,NA,biological_process,,NR,N4021 ,,NR,,T3,ACY9-ACY10,BC085422,1.3,,13 th sending,,,pME18S-FL3,ZDB-GENE-041114-135, ZDB-CDNA-041114-135
V302,,FR_7947,ccdc113,,,,ENSDARG00000006981,,,coiled-coil domain containing 113,protein complex ; centriolar satellite ; cytoskeleton ; cytoplasm,molecular_function,cell projection organization ; cilium assembly,,NR,N4051 ,,"NR, axis, pronephric ducts",,T3,ACY9-ACY10,BC083263,1.6,,15 th sending,,,pME18S-FL3,ZDB-GENE-041010-163, ZDB-CDNA-041010-163
V303,,FR_7974,cited2,,,,ENSDARG00000030905,,,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4b",nucleus,RNA polymerase II transcription coactivator activity,"muscle cell differentiation ; regulation of transcription, DNA-templated",,,N4081,tested-OV,"G : expression asymetrical, NR on one side of the embryo (stochastic ?) for half of the population (in the axis - notochord for the other half)
ES : same + eye field, somites, 
MS : same eye, branchial arches
24 h : lens, optic stalk, nucleus in dorsal telencephalon, branchial arches
36 h : lens, optic nerve, branchial arches, part of hindbrain (2 rhombomere laterally)
48 h : same (3 rhombomeres) lateral part",,T3,ACY9-ACY10,BC083367,3,3,15 th sending,,,pME18S-FL3,ZDB-GENE-030425-5, ZDB-CDNA-041010-141
V304,,FR_7999,pdlim3a,,,,,,,PDZ and LIM domain 3a,cellular_component,metal ion binding ; zinc ion binding,NA,,NS,N4112 ,,no labelling,,T3,ACY9-ACY10,BC095249,1.5,,13 th sending,,,pME18S-FL3,ZDB-GENE-050505-1,
V305,,FR_8025,lactb2,,,,,,,"lactamase, beta 2",.,,,,NR,N4141 ,,NR,,T3,ACY9-ACY10,BC095252,1.9,,13 th sending,,,pME18S-FL3,ZDB-GENE-040426-2257,
V306,,FR_8049,nop10,,,,ENSDARG00000104227,,,NOP10 ribonucleoprotein homolog (yeast),box H/ACA RNP complex ; intracellular ribonucleoprotein complex ; nucleolus ; nucleus,snoRNA binding,pseudouridine synthesis ; rRNA processing ; ribosome biogenesis ; primitive hemopoiesis,,NR,N4171 ,,NR strong,,T3,ACY9-ACY10,BC095081,0.7,,13 th sending,,,pME18S-FL3,ZDB-GENE-041007-4, ZDB-CDNA-050522-162
V307,,FR_8884,c1qa,,,,ENSDARG00000044613,,,"complement component 1, q subcomponent binding protein",mitochondrial matrix,molecular_function,biological_process,,NS,N4201 ,,no labelling,,T3,ACY9-ACY10,BC095042,1.2,,13 th sending,,,pME18S-FL3,ZDB-GENE-050417-408, ZDB-CDNA-050522-86
V308,,FR_8911,isl2b,,,,ENSDARG00000053499,,,ISL LIM homeobox 2b,nucleus,metal ion binding ; zinc ion binding ; sequence-specific DNA binding ; DNA binding,"exocrine pancreas development ; multicellular organism development ; regulation of transcription, DNA-templated",,,N4231,,"G - ES : Ø
MS : cranial ganglia (stronger in trigeminal), hindbrain, spinal chord neurons
24 h : same + branchial arches, cells in pretectum and telencephalon
36 h ; same + cells in retina, one endoderm primordium
48 h : same + ganglion cell layer of retina
5 d: cranial ganglia, ganglion cell layer of retina",,T3,ACY9-ACY10,BC095011,1.9,4,16 th sending,,,pME18S-FL3,ZDB-GENE-990415-133, ZDB-CDNA-050522-379
V309,,FR_8937,irx3a,,,,ENSDARG00000101076,,,iroquois homeobox 3a,nucleus,sequence-specific DNA binding ; DNA binding,"gastrulation ; endocrine pancreas development ; regulation of transcription, DNA-templated",,,N4262,tested,"G : axis
ES : notochord, ventral spinal chord, hindbrain (3 rhombomeres), midbrain (one stripe), ventral cephalic mesoderm (branchial arches)
MS - 24 h : midbrain, Ø in MHB, hinbrain, spinal chord, chordo neural hinge
36 h : same, part of posterior diencephalon or anterior tegmentum, otic vesicle
48 h : same (Ø in spinal chord), cells in ganglion cell layer of retina",,T3,ACY9-ACY10,BC092694,2,3,16 th sending,,,pME18S-FL3,ZDB-GENE-991119-5, ZDB-CDNA-050417-31
V31,V444,CB995,dnajb13,,,,,,,"DnaJ (Hsp40) homolog, subfamily B, member 13",cellular_component,unfolded protein binding,protein folding,,,DG2415,,"G - MS : Ø
24 h : primary neurons
36 h neurons in marginal zone
48 h : same, anterior and posterior lateral line ganglion",,T7,PU-RP,CF673238,1.5,3,sending CB,,,pBSIISK+,ZDB-GENE-040910-4,
V310,,FR_8962,prrg4,,,,ENSDARG00000030753,,,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane),extracellular region ; membrane ; integral component of membrane,metal ion binding ; calcium ion binding,biological_process,,NR ,N4291  ,,"NR more in polster, and in pronephric ducts at MS",,T3,ACY9-ACY10,BC092813,1705,,15 th sending,,,pME18S-FL3,ZDB-GENE-050417-112, ZDB-CDNA-050417-113
V311,,FR_8988,zgc:110183,,,,,,,zgc:110183,,,,,NR,N4321 ,,NR,,T3,ACY9-ACY10,BC092779,1073,,15 th sending,,,pME18S-FL3,ZDB-GENE-050417-380,
V312,,FR_9015,psmb8f,,,,,,,proteasome subunit beta 8f,,,,,NS,N4351 ,,NS,,T3,ACY9-ACY10,BC092889,1043,,15 th sending,,,pME18S-FL3,ZDB-GENE-050417-319,
V313,,FR_9041,rab23,,,,ENSDARG00000004151,,,"RAB23, member RAS oncogene family",endosome membrane ; autophagosome,nucleotide binding ; GTP binding,determination of left/right asymmetry in lateral mesoderm ; protein transport ; small GTPase mediated signal transduction ; autophagosome assembly ; determination of liver left/right asymmetry ; determination of pancreatic left/right asymmetry ; determination of heart left/right asymmetry,,NR,N4381 ,,NR,,T3,ACY9-ACY10,BC095213,1555,,15 th sending,,,pME18S-FL3,ZDB-GENE-050522-328, ZDB-CDNA-050522-328
V314,,FR_9069,meig1,,,,ENSDARG00000045705,,,meiosis/spermiogenesis associated 1,nucleus,NA,spermatogenesis ; cell differentiation,,,N4411,tested-OV,"G - ES : Ø
MS : otic vesicle, rhombomere 5, pronephric ducts, ventral spinal chord
24 h :otic vesicle, rhombomere 5, pronephric ducts, ventral spinal chord
36 h : same + lens
48 h : same + pectoral fin muscle",,T3,ACY9-ACY10,BC091461,462,2,17 th sending,,,pME18S-FL3,ZDB-GENE-050320-33, ZDB-CDNA-050320-33
V315,,FR_9093,wbp1lb,,,,ENSDARG00000029751,,,WW domain binding protein 1-like b,membrane ; integral component of membrane,molecular_function,biological_process,,,N4441,,NR more in YSL at G - ES ,,T3,ACY9-ACY10,BC095609,1479,0,15 th sending,,,pME18S-FL3,ZDB-GENE-050522-112, ZDB-CDNA-050522-112
V316,,FR_9117,zgc:112271,,,,,,,zgc:112271,,,,,NR,N4471 ,,NR,,T3,ACY9-ACY10,BC095718,459,,15 th sending,,,pME18S-FL3,ZDB-GENE-050522-443,
V317,,FR_9145,nanp,,,,ENSDARG00000075143,,,N-acetylneuraminic acid phosphatase,cellular_component,hydrolase activity,metabolic process,,,N4501,,"NR, more in polster at ES",,T3,ACY9-ACY10,BC095610,1204,0,15 th sending,,,pME18S-FL3,ZDB-GENE-050522-94, ZDB-CDNA-050522-94
V318,,FR_9171,leprot,,,,,,,leptin receptor overlapping transcript,,,,,,N4531,tested-OV,"G - ES : Ø
MS : posterior pronephric ducts
24 - 36 h : same + intestinal bulb
48 h : pharynx",,T3,ACY9-ACY10,BC093304,1875,1,17 th sending,,,pME18S-FL3,ZDB-GENE-050417-314,
V319,,FR_9196,ankrd45,,,,,,,ankyrin repeat domain 45,cellular_component,molecular_function,biological_process,,,N4561,tested,"G : Ø
ES : Kupffer’s vesicle
MS : anterior and posterior part of otic vesicle, cells in pronephric ducts
24 : same
36 h : same + posterior most ventral spinal chord
48 h : cells in nose, otic vesicle, pronephric ducts, lateral line neuromasts, head ± NR
5 d  : cells in nose, lateral line neuromasts (pas vu sur les photos)",,T3,ACY9-ACY10,BC095811,908,2,17 th sending,,,pME18S-FL3,ZDB-GENE-050522-311,
V320,,FR_9219,zgc:112038,,,,ENSDARG00000046140,,,zgc:112038,membrane ; integral component of membrane,serine-type peptidase activity ; peptidase activity ; hydrolase activity ; serine-type endopeptidase activity,proteolysis,,NR,N4591 ,,NR,,T3,ACY9-ACY10,BC095652,1192,,15 th sending,,,pME18S-FL3,ZDB-GENE-050522-271, ZDB-CDNA-050522-271
V321,,FR_9239,rab42b,,,,ENSDARG00000101170,,,"RAB42, member RAS oncogene family",NA,nucleotide binding ; GTP binding,protein transport ; small GTPase mediated signal transduction,,,N4621,tested-OV,"G - ES : Ø
MS : adaxial cells, ventral mesoderm
24 h : head epidermis, ICM, muscle pioneers (?) in posterior somites
36 h : head epidermis, muscle pioneers (?) caudally, dorsal 2nd ventricule
48 h : weak in dorsal 2nd ventricule",,T3,ACY9-ACY10,BC093158,1046,3,17 th sending,,,pME18S-FL3,ZDB-GENE-050417-172, ZDB-CDNA-050417-173
V322,,FR_9263,hexa,,,,,,,hexosaminidase A (alpha polypeptide),cellular_component,"hydrolase activity, hydrolyzing O-glycosyl compounds ; beta-N-acetylhexosaminidase activity ; hydrolase activity, acting on glycosyl bonds ; hydrolase activity",metabolic process ; carbohydrate metabolic process,,,N4652,tested-OV,"G : Ø
ES : polster, axis, one rhombomere
MS : retina, epiphysis, spinal chord, YSL, rhombomre 5 + 6
24 h : lens, YSL, caudal mesenchyme
36 - 48 h : lens",,T3,ACY9-ACY10,BC093192,1893,1,,,,pME18S-FL3,ZDB-GENE-050417-283,
V323,,FR_9286,si:ch73-314g15.3,,,,ENSDARG00000000423,,,si:ch73-314g15.3,NA,"metal ion binding ; iron-sulfur cluster binding ; 2 iron, 2 sulfur cluster binding ; oxidoreductase activity",oxidation-reduction process,,NR,N4681 ,,NR,,T3,ACY9-ACY10,BC096959,1828,,15 th sending,,,pME18S-FL3,ZDB-GENE-030616-19, ZDB-CDNA-050612-200
V324,,FR_9314,zgc:113921,,,,,,,zgc:113921,,,,,NR,N4711 ,,NR more in axis at G - MS,,T3,ACY9-ACY10,BC097015,1280,,17 th sending,,,pME18S-FL3,ZDB-GENE-050913-116,
V325,,FR_9339,mnx1,,,,,,,motor neuron and pancreas homeobox 1,nucleus,"sequence-specific DNA binding ; DNA binding ; transcription factor activity, sequence-specific DNA binding","type B pancreatic cell differentiation ; endocrine pancreas development ; spinal cord motor neuron cell fate specification ; neuron projection morphogenesis ; regulation of transcription, DNA-templated ; regulation of transcription from RNA polymerase II promoter",,,N4741,tested,"G : Ø
ES : axis, posterior endoderm, ventral mesoderm
MS : posterior notochord, posterior endoderm (?), hypochord, ventral spinal chord neurons (motorneurons)
24 - 36 h : same + pancreas
48 h ; same, + pharynx, 2 spots in ventral hindbrain at the level of rhombomere 5",,T3,ACY9-ACY10,BC093243,1486,4,,,,pME18S-FL3,ZDB-GENE-040409-1,
V326,,FR_9365,aars,,,,,,,alanyl-tRNA synthetase,cytosol ; cytoplasm,"ligase activity, forming aminoacyl-tRNA and related compounds ; nucleotide binding ; amino acid binding ; alanine-tRNA ligase activity ; ATP binding ; nucleic acid binding ; tRNA binding",tRNA aminoacylation ; alanyl-tRNA aminoacylation ; tRNA modification,,NR,N4772 ,,NR more in adaxial,,T3,ACY9-ACY10,BC097014,1983,,17 th sending,,,pME18S-FL3,ZDB-GENE-030131-3663,
V327,,FR_9390,pex11g,,,,,,,peroxisomal biogenesis factor 11 gamma,integral component of peroxisomal membrane,molecular_function,peroxisome fission,,NR,N4802 ,,weak NR,,T3,ACY9-ACY10,BC097141,1296,,17 th sending,,,pME18S-FL3,ZDB-GENE-050913-79,
V328,,FR_9418,c1qtnf4,,,,,,,C1q and tumor necrosis factor related protein 4,cellular_component,molecular_function,biological_process,,,N4831,tested-OV,"G - ES : Ø
MS : part of telencephalon
24 - 36 h : telencephalon, epiphysis, neurons in diencephalon, tegmentum, hindbrain, spinal chord, cranial ganglia
48 h : CNS marginal zone, cranial ganglia",,T3,ACY9-ACY10,BC093268,1529,3,,,,pME18S-FL3,ZDB-GENE-050417-198,
V329,,FR_9445,zgc:112977,,,,,,,zgc:112977,NA,metal ion binding ; nucleic acid binding,NA,,NR,N4861 ,,NR,,T3,ADX299-M13F or PU,BC091788,2790,,17 th sending,,,pDNR-LIB,ZDB-GENE-050327-98,
V330,,FR_9469,trim2a,,,,,,,tripartite motif containing 2a,intracellular,metal ion binding ; zinc ion binding,myeloid cell differentiation ; primitive hemopoiesis,,,N4891,,"G - MS : Ø
24 - 48 h : lens, trigeminal ganglion
5 d: ganglion cell layer of retina",,T3,ADX299-M13F or PU,BC091789,3120,1,,,,pDNR-LIB,ZDB-GENE-050327-99,
V331,,FR_9496,capn2b,,,,,,,"calpain 2, (m/II) large subunit b",intracellular,cysteine-type peptidase activity ; peptidase activity ; hydrolase activity ; calcium ion binding ; calcium-dependent cysteine-type endopeptidase activity,proteolysis,,,N4921,tested-OV,"G : Ø
ES : epidermis, polster
MS - 48 h : epidermis
",,T3,ADX299-M13F or PU,BC090435,2439,2,,,,pDNR-LIB,ZDB-GENE-050522-84,
